id,Jan-11,feb-11,mar-11,Apr-11,may-11,jun-11,jul-11,Aug-11,sep-11,oct-11,nov-11,Dec-11
Prod_1,3522598.358,4327533.189,4334809.86,3693015.979,4199584.235,5263439.056,4370134.199,4560905.666,3891792.877,3137426.366,4259044.434,4775427.615
Prod_2,200881.9197,190022.4191,194940.3976,221162.9152,226230.4253,205536.6543,194958.8146,229721.616,294189.0702,176975.1978,216305.2111,204309.3362
Prod_3,567420.8125,496862.2673,535024.1215,889466.5391,985809.3637,896958.7108,841951.2453,715991.7097,700823.0572,561575.4949,567228.5221,548577.3559
Prod_4,624501.281,609596.219,622038.7856,833618.9137,883038.5447,729189.7956,744590.0343,892398.3827,1802176.841,631520.0731,773525.9339,745972.2038
Prod_5,110823.9899,141508.3775,185491.7111,395475.012,315816.9727,138100.1536,166645.7947,854662.184,599098.0894,250731.7318,124809.7697,268736.7037
Prod_6,179149.6162,227056.8753,255473.1077,150022.0384,146780.0137,155853.2851,199177.5536,304174.2478,296634.4468,256889.8771,283688.4531,297784.0798
Prod_7,386630.3598,308103.0825,366707.0583,410824.5741,450957.6188,1232848.052,1177855.725,2031133.652,1315786.786,2556454.112,4617673.838,4498520.105
Prod_8,267620.5974,266757.4535,265951.139,312589.0239,342002.9913,305246.4422,294198.2384,291154.4827,280758.7024,312182.5483,268127.1869,294972.4145
Prod_9,675821.6536,765888.5385,1115119.14,1252229.32,1178655.931,1029891.635,1212996.025,2565403.107,2334249.079,820986.3905,1112376.262,1227460.479
Prod_10,317209.2608,290762.9012,371037.3841,539778.3072,659892.7901,645079.6519,651588.0304,556394.2582,516161.612,399672.2472,504126.1208,624800.3272
Prod_11,280981.8994,397037.0063,379817.8982,414036.305,443006.8725,548372.4668,435739.6718,434712.5595,365429.3465,336723.0205,328029.0904,444057.0059
Prod_12,422464.6283,472801.9119,530072.4738,486075.5454,522603.0919,612859.9134,675773.3977,723522.956,609739.7422,532383.5212,749701.8891,782108.9425
Prod_13,1716117.002,1772816.63,1919364.838,2003973.642,2249787.358,2288389.929,2319107.134,2191055.443,2082964.872,1625890.857,1936478.582,2140282.861
Prod_14,683802.2854,1027289.679,1287235.094,1605946.723,1526570.524,1193087.047,1439250.292,1679660.872,1506640.188,918496.6657,882966.4786,940591.4372
Prod_15,393540.1525,365295.7593,359806.905,439333.7946,513105.8125,474504.7679,531970.6699,502415.0343,617603.8843,527205.9986,504885.5645,473748.4777
Prod_16,463815.0819,589389.8334,588502.3149,491613.38,715463.4821,691159.2487,640945.5292,576843.3313,573556.4194,633350.0115,622060.7632,625772.2252
Prod_17,454569.9182,454428.4069,477240.4911,603127.5897,626406.0027,471646.4674,460500.7737,586764.1267,996916.7405,360939.1781,979851.7106,728799.0393
Prod_18,96039.62693,95130.95429,114436.3545,106729.657,125155.2127,107950.6397,127716.8183,153551.3226,166969.2325,121281.2924,136384.0864,151294.5273
Prod_19,120828.3484,121769.0157,133345.9938,154965.5302,160382.633,142684.898,153119.4515,158917.8472,145733.6841,213593.2078,128444.4277,149121.4157
Prod_20,326733.5724,333447.9259,349363.0781,378810.4607,412486.912,359969.3282,386184.4553,399933.1594,395291.3076,300551.4327,320641.4597,378817.3882
Prod_21,23318.30521,26506.33417,25490.32576,27874.44776,28329.5763,23106.80258,38450.87694,64201.15306,47101.37662,28325.85563,34928.97349,38952.38396
Prod_22,85225.5549,152006.7733,153979.2144,151604.2343,189072.5635,160476.1936,172592.6172,260619.8435,181520.932,126742.0426,145904.2822,195786.9138
Prod_23,42213.03295,70333.00287,57073.26875,66017.10624,90486.86592,55413.95646,87562.58982,79429.97152,84235.59509,63678.07731,63027.63214,86897.14297
Prod_24,278780.0972,656375.9818,349060.2968,364662.0022,400945.2124,374563.387,451332.3522,389906.2786,394003.1008,280035.5434,351716.6552,366484.7602
Prod_25,274977.3727,334723.7333,324051.2382,322297.7774,410284.2523,424523.5806,448031.7307,350464.2093,314058.3768,362565.3725,290888.0533,379636.3656
Prod_26,183730.2035,180048.2355,150937.0438,648085.4685,510967.7512,379012.6982,604611.5509,435561.0371,318504.8959,182631.7435,172276.6562,215987.9138
Prod_27,96526.25375,108302.5929,111721.9496,146470.1486,158990.184,139673.9497,156077.3842,157118.8661,134032.7092,254529.7736,134137.1654,155558.5687
Prod_28,23383.88247,23683.34487,24240.9645,32775.64273,27937.77612,21840.1022,25727.95018,27235.58844,28758.71613,19551.17822,20291.15878,24179.00676
Prod_29,171007.8645,190222.0019,222299.4025,269584.3802,273649.7911,225853.2762,288770.9653,335467.1848,275821.6519,258439.3188,250475.1224,300857.7208
Prod_30,23546.82037,19469.95263,24290.9337,43449.15101,54591.1565,59518.37517,27234.18777,24617.8619,22680.37625,25305.4121,18110.47153,19108.36217
Prod_31,9394.32957,16215.54599,13734.31934,28671.30187,15124.03439,12884.52113,15535.59323,19574.76073,18032.12512,76830.13207,11639.47161,15536.56841
Prod_32,362797.32,612088.3257,746373.6959,691110.2491,374311.339,118427.1637,0,717982.7008,411179.2662,444936.261,447066.868,708775.33
