id,article_1,income_1,category_1,percentage_1,article_2,income_2,category_2,percentage_2,article_3,income_3,category_3,percentage_3,article_4,income_4,category_4,percentage_4,article_5,income_5,category_5,percentage_5,article_6,income_6,category_6,percentage_6,article_7,income_7,category_7,percentage_7,article_8,income_8,category_8,percentage_8,article_9,income_9,category_9,percentage_9,article_10,income_10,category_10,percentage_10,article_11,income_11,category_11,percentage_11,article_12,income_12,category_12,percentage_12,article_13,income_13,category_13,percentage_13,article_14,income_14,category_14,percentage_14,article_15,income_15,category_15,percentage_15,article_16,income_16,category_16,percentage_16,article_17,income_17,category_17,percentage_17,article_18,income_18,category_18,percentage_18,article_19,income_19,category_19,percentage_19,article_20,income_20,category_20,percentage_20,article_21,income_21,category_21,percentage_21,article_22,income_22,category_22,percentage_22,article_23,income_23,category_23,percentage_23,article_24,income_24,category_24,percentage_24,article_25,income_25,category_25,percentage_25,article_26,income_26,category_26,percentage_26,article_27,income_27,category_27,percentage_27,article_28,income_28,category_28,percentage_28,article_29,income_29,category_29,percentage_29,article_30,income_30,category_30,percentage_30,article_31,income_31,category_31,percentage_31,article_32,income_32,category_32,percentage_32,article_33,income_33,category_33,percentage_33,article_34,income_34,category_34,percentage_34,article_35,income_35,category_35,percentage_35,article_36,income_36,category_36,percentage_36,article_37,income_37,category_37,percentage_37,article_38,income_38,category_38,percentage_38,article_39,income_39,category_39,percentage_39,article_40,income_40,category_40,percentage_40,article_41,income_41,category_41,percentage_41,article_42,income_42,category_42,percentage_42,article_43,income_43,category_43,percentage_43,article_44,income_44,category_44,percentage_44,article_45,income_45,category_45,percentage_45,article_46,income_46,category_46,percentage_46,article_47,income_47,category_47,percentage_47,article_48,income_48,category_48,percentage_48,article_49,income_49,category_49,percentage_49,article_50,income_50,category_50,percentage_50,article_51,income_51,category_51,percentage_51,article_52,income_52,category_52,percentage_52,article_53,income_53,category_53,percentage_53,article_54,income_54,category_54,percentage_54,article_55,income_55,category_55,percentage_55
1,Prod_1,35238.76157,A,0.135885054,Prod_5,24763.7462,A,0.09549209,Prod_20,22136.98584,A,0.085362975,Prod_6,17739.52872,A,0.068405832,Prod_9,17269.22652,A,0.066592289,Prod_15,16999.41163,A,0.065551849,Prod_21,14840.86659,A,0.05722823,Prod_17,9436.828485,A,0.036389586,Prod_11,7767.003723,A,0.029950534,Prod_12,7720.938201,A,0.029772899,Prod_7,7448.901148,A,0.028723891,Prod_24,7378.956962,A,0.028454177,Prod_2,6363.840733,A,0.024539763,Prod_8,5203.678118,A,0.020066031,Prod_32,4985.698038,A,0.019225473,Prod_38,4094.376563,B,0.015788426,Prod_26,3963.04856,B,0.015282009,Prod_27,3760.130303,B,0.014499531,Prod_29,3469.956972,B,0.013380586,Prod_18,3154.0473,B,0.012162399,Prod_30,2974.661282,B,0.011470664,Prod_43,2966.576712,B,0.011439489,Prod_14,2855.839484,B,0.011012473,Prod_39,2743.921876,B,0.010580905,Prod_16,2677.310577,B,0.010324043,Prod_22,2513.455222,B,0.009692196,Prod_23,2496.543454,B,0.009626983,Prod_31,2469.669331,B,0.009523353,Prod_41,2307.82955,C,0.008899278,Prod_4,1799.770844,C,0.006940141,Prod_19,1526.777281,C,0.005887443,Prod_33,1328.924482,C,0.005124498,Prod_13,1218.913476,C,0.004700282,Prod_35,1155.306796,C,0.004455007,Prod_25,1134.863805,C,0.004376176,Prod_10,925.1313815,C,0.003567422,Prod_40,613.9042129,C,0.002367291,Prod_49,483.7990537,C,0.001865589,Prod_28,349.9269715,C,0.001349362,Prod_52,328.7738357,C,0.001267793,Prod_42,232.4219548,C,0.000896248,Prod_36,196.9482345,C,0.000759457,Prod_3,101.5662426,C,0.000391652,Prod_34,61.95773673,C,0.000238917,Prod_37,52.87252886,C,0.000203883,Prod_58,44.84815681,C,0.00017294,Prod_57,14.9704583,C,0.000057728,Prod_44,14.30510459,C,5.51623E-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Prod_1,44201.54926,A,0.15131453,Prod_20,30162.18161,A,0.103253764,Prod_5,25765.31342,A,0.088202028,Prod_9,17770.23766,A,0.0608326,Prod_21,17453.13384,A,0.059747063,Prod_6,16307.77068,A,0.055826158,Prod_15,11271.02755,A,0.038583947,Prod_17,11101.16035,A,0.038002443,Prod_12,8153.073405,A,0.027910299,Prod_11,7639.260622,A,0.026151371,Prod_8,7135.743967,A,0.02442769,Prod_7,7111.823238,A,0.024345803,Prod_24,6654.057751,A,0.022778741,Prod_2,6514.640322,A,0.022301475,Prod_38,6285.650921,A,0.021517579,Prod_30,5943.181241,A,0.020345207,Prod_16,4926.427338,B,0.016864568,Prod_26,4810.115906,B,0.016466401,Prod_43,4604.73957,B,0.015763339,Prod_22,4300.526056,B,0.014721929,Prod_19,4064.761639,B,0.01391484,Prod_32,3609.440209,B,0.012356145,Prod_18,3577.152232,B,0.012245614,Prod_41,3484.490263,B,0.011928406,Prod_31,3190.924379,B,0.010923446,Prod_14,3166.251581,B,0.010838984,Prod_27,3158.43302,B,0.010812219,Prod_23,3064.887318,B,0.010491985,Prod_35,2218.903286,C,0.00759594,Prod_33,2050.438682,C,0.007019237,Prod_25,1978.104431,C,0.006771617,Prod_39,1948.568361,C,0.006670506,Prod_13,1563.209867,C,0.005351314,Prod_10,1272.298884,C,0.004355443,Prod_4,1234.377075,C,0.004225625,Prod_29,772.8864326,C,0.002645811,Prod_40,708.8531373,C,0.002426607,Prod_52,537.6616305,C,0.001840569,Prod_49,532.1789591,C,0.001821801,Prod_42,518.9663543,C,0.00177657,Prod_36,315.1221293,C,0.001078753,Prod_28,290.6848531,C,0.000995097,Prod_48,255.0633417,C,0.000873155,Prod_34,216.8520786,C,0.000742347,Prod_58,134.5364129,C,0.000460557,Prod_3,56.56837175,C,0.00019365,Prod_57,44.91137489,C,0.000153744,Prod_37,31.72351732,C,0.000108599,Prod_44,7.152552297,C,2.44852E-005,,,,,,,,,,,,,,,,,,,,,,,,
3,Prod_1,25736.6222,A,0.120496329,Prod_9,16712.50448,A,0.078246299,Prod_15,15823.72234,A,0.074085109,Prod_5,15232.68425,A,0.071317926,Prod_21,13302.32917,A,0.062280194,Prod_6,12981.86233,A,0.0607798,Prod_20,10385.7342,A,0.048624984,Prod_17,10007.57779,A,0.046854493,Prod_12,8944.479529,A,0.041877172,Prod_8,8008.328885,A,0.037494207,Prod_11,6573.978846,A,0.030778721,Prod_24,6230.725603,A,0.029171643,Prod_2,5967.222812,A,0.027937949,Prod_18,4690.878066,A,0.021962229,Prod_7,4610.13952,A,0.021584219,Prod_32,4514.027802,A,0.021134233,Prod_22,4052.650498,B,0.01897411,Prod_16,3866.53674,B,0.018102744,Prod_38,3498.447542,B,0.016379387,Prod_27,2982.774714,B,0.013965057,Prod_31,2674.393811,B,0.012521248,Prod_30,2642.393726,B,0.012371427,Prod_23,2624.213807,B,0.01228631,Prod_25,2138.63525,B,0.010012879,Prod_43,2094.813408,B,0.00980771,Prod_29,1972.462748,B,0.009234876,Prod_19,1962.937729,B,0.009190281,Prod_10,1957.453694,B,0.009164605,Prod_13,1755.105952,C,0.008217233,Prod_4,1601.331209,C,0.007497275,Prod_14,1355.30276,C,0.006345394,Prod_26,1149.440255,C,0.005381566,Prod_39,899.3993275,C,0.004210899,Prod_35,882.8245595,C,0.004133298,Prod_40,826.0849891,C,0.003867649,Prod_41,748.9324399,C,0.003506428,Prod_33,525.4306449,C,0.002460014,Prod_52,395.9812132,C,0.001853945,Prod_36,374.194922,C,0.001751944,Prod_42,217.7891364,C,0.001019667,Prod_28,212.3146416,C,0.000994036,Prod_37,153.3173273,C,0.000717817,Prod_3,150.0039921,C,0.000702304,Prod_46,56.04939586,C,0.000262418,Prod_45,26.14840049,C,0.000122424,Prod_48,23.18757652,C,0.000108562,Prod_58,22.42206403,C,0.000104978,Prod_34,15.48943418,C,0.00007252,Prod_44,7.152552297,C,3.34875E-005,,,,,,,,,,,,,,,,,,,,,,,,
4,Prod_1,43672.1809,A,0.147914597,Prod_15,30055.32047,A,0.101795251,Prod_5,26680.30141,A,0.090364299,Prod_9,18668.30897,A,0.063228246,Prod_20,15990.42394,A,0.054158438,Prod_17,15769.68111,A,0.053410798,Prod_6,14772.79455,A,0.050034413,Prod_21,12931.4804,A,0.043798012,Prod_23,9615.960122,A,0.032568579,Prod_7,8661.108046,A,0.029334562,Prod_12,8570.840494,A,0.029028832,Prod_38,8207.895758,A,0.027799564,Prod_11,7665.891249,A,0.025963833,Prod_24,6689.237786,A,0.022655977,Prod_2,6462.627328,A,0.021888463,Prod_27,6343.8882,B,0.021486302,Prod_8,6096.651135,B,0.020648927,Prod_16,5945.14534,B,0.020135788,Prod_18,5476.009328,B,0.018546857,Prod_32,4184.201774,B,0.014171596,Prod_31,3970.471587,B,0.013447707,Prod_14,3415.168006,B,0.011566933,Prod_30,3081.723288,B,0.010437579,Prod_19,2739.492109,B,0.009278467,Prod_22,2635.514611,B,0.008926302,Prod_41,2246.673728,C,0.007609325,Prod_10,2068.041382,C,0.00700431,Prod_13,1746.348969,C,0.005914761,Prod_4,1611.544992,C,0.005458189,Prod_39,1611.405901,C,0.005457718,Prod_43,1250.252575,C,0.004234517,Prod_25,1191.778078,C,0.004036468,Prod_29,982.2168331,C,0.003326699,Prod_52,913.6701049,C,0.003094536,Prod_28,729.3152033,C,0.002470139,Prod_42,461.2986653,C,0.001562386,Prod_26,401.1284399,C,0.001358594,Prod_35,396.4443498,C,0.001342729,Prod_33,378.3935879,C,0.001281592,Prod_49,338.6593376,C,0.001147015,Prod_40,215.6943631,C,0.000730542,Prod_34,92.93938821,C,0.000314779,Prod_3,85.09873849,C,0.000288223,Prod_36,78.77787832,C,0.000266815,Prod_37,63.44703464,C,0.000214891,Prod_45,34.86766618,C,0.000118094,Prod_57,29.94091659,C,0.000101408,Prod_58,22.42206403,C,7.59419E-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Prod_1,111388.2092,A,0.154264455,Prod_20,68337.10026,A,0.094641844,Prod_21,57927.73664,A,0.080225643,Prod_5,48912.15736,A,0.067739731,Prod_6,42727.61132,A,0.059174591,Prod_17,29146.2373,A,0.040365389,Prod_9,23852.49808,A,0.033033951,Prod_12,23342.4965,A,0.032327636,Prod_43,22851.2186,A,0.031647252,Prod_22,22032.55906,A,0.030513469,Prod_11,21657.95629,A,0.029994672,Prod_8,20970.36988,A,0.029042416,Prod_2,19952.3028,A,0.027632468,Prod_7,18405.56205,A,0.025490346,Prod_15,14067.35987,A,0.019482256,Prod_23,12697.35031,A,0.017584894,Prod_30,11602.93034,A,0.016069203,Prod_35,10407.30923,B,0.014413356,Prod_26,9491.625974,B,0.013145202,Prod_24,9352.868891,B,0.012953034,Prod_13,8765.846041,B,0.01214005,Prod_33,8610.289537,B,0.011924616,Prod_39,8529.06707,B,0.011812129,Prod_38,8496.226785,B,0.011766648,Prod_31,8322.769349,B,0.011526422,Prod_18,7899.475323,B,0.010940191,Prod_19,7075.496673,B,0.009799041,Prod_27,6955.954553,B,0.009633484,Prod_10,6280.879382,B,0.008698555,Prod_32,6194.702835,B,0.008579207,Prod_25,6105.343735,B,0.008455451,Prod_48,5785.946972,C,0.00801311,Prod_29,5249.137357,C,0.007269668,Prod_50,5068.318518,C,0.007019247,Prod_41,3711.655739,C,0.005140369,Prod_16,3329.254221,C,0.004610772,Prod_40,3130.962896,C,0.004336153,Prod_14,3069.903251,C,0.00425159,Prod_4,2246.260153,C,0.003110905,Prod_45,1516.669872,C,0.002100476,Prod_3,1494.165851,C,0.00206931,Prod_28,906.1376933,C,0.001254934,Prod_56,872.9440571,C,0.001208963,Prod_37,775.7256864,C,0.001074323,Prod_52,632.1256859,C,0.000875447,Prod_49,532.1789591,C,0.000737029,Prod_42,336.7494153,C,0.000466373,Prod_34,325.2781178,C,0.000450486,Prod_53,296.4641441,C,0.000410581,Prod_36,240.2760675,C,0.000332765,Prod_44,143.0510459,C,0.000198115,Prod_58,22.42206403,C,3.10529E-005,Prod_57,14.9704583,C,0.000020733,,,,,,,,
6,Prod_1,112096.0766,A,0.200427905,Prod_5,42251.24444,A,0.07554527,Prod_15,38499.11237,A,0.068836454,Prod_20,33258.05028,A,0.059465429,Prod_6,32852.59493,A,0.058740475,Prod_21,27831.0494,A,0.049761946,Prod_9,26781.18653,A,0.04788479,Prod_17,19514.42405,A,0.034891811,Prod_38,19203.26429,A,0.034335457,Prod_11,15378.63035,A,0.027497008,Prod_12,14844.12232,A,0.026541307,Prod_7,13558.3071,A,0.024242268,Prod_23,12036.62435,A,0.021521497,Prod_24,12003.65725,A,0.021462552,Prod_8,11560.52964,A,0.020670239,Prod_22,11066.90081,A,0.01978763,Prod_30,9671.139177,B,0.017292007,Prod_2,9535.071984,B,0.017048719,Prod_31,9262.942843,B,0.016562152,Prod_18,8449.913296,B,0.015108454,Prod_32,7343.524557,B,0.01313023,Prod_16,6436.868453,B,0.011509128,Prod_43,6178.893655,B,0.011047868,Prod_19,5822.810104,B,0.010411191,Prod_27,5704.063538,B,0.010198872,Prod_35,5064.098632,B,0.009054614,Prod_13,5028.385179,B,0.008990758,Prod_26,4763.788977,B,0.00851766,Prod_41,4159.138787,B,0.007436545,Prod_14,3574.44497,C,0.006391111,Prod_39,3209.212601,C,0.005738076,Prod_10,2806.35694,C,0.005017769,Prod_3,2706.855918,C,0.004839861,Prod_33,2657.158232,C,0.004751002,Prod_25,2367.167544,C,0.004232498,Prod_29,2326.701398,C,0.004160145,Prod_36,1412.876642,C,0.002526225,Prod_4,1382.053348,C,0.002471113,Prod_52,1302.380434,C,0.002328658,Prod_40,1126.741837,C,0.002014616,Prod_49,805.5126048,C,0.001440257,Prod_34,619.5857166,C,0.00110782,Prod_37,562.9199306,C,0.001006501,Prod_42,554.4481836,C,0.000991354,Prod_50,511.705235,C,0.00091493,Prod_28,441.9919665,C,0.000790282,Prod_53,378.1928818,C,0.000676209,Prod_48,188.4148613,C,0.000336886,Prod_58,67.2661921,C,0.000120272,Prod_54,56.50299352,C,0.000101027,Prod_57,44.91137489,C,8.03016E-005,Prod_44,14.30510459,C,2.55775E-005,Prod_45,9.660935753,C,1.72738E-005,,,,,,,,
7,Prod_1,49951.4145,A,0.138655351,Prod_15,32439.38885,A,0.090045395,Prod_5,29688.82069,A,0.082410356,Prod_9,26565.13761,A,0.073739623,Prod_20,24260.44139,A,0.067342237,Prod_21,22488.95021,A,0.062424925,Prod_6,20150.22745,A,0.055933088,Prod_17,15335.47464,A,0.042568276,Prod_12,11845.70039,A,0.032881346,Prod_18,9107.414938,A,0.025280402,Prod_8,8718.474338,A,0.024200779,Prod_24,8675.799987,A,0.024082323,Prod_2,8636.689856,A,0.023973761,Prod_7,8240.281175,A,0.022873408,Prod_11,8157.955888,A,0.022644889,Prod_27,7193.915894,B,0.019968903,Prod_38,7169.962776,B,0.019902413,Prod_19,6816.952378,B,0.018922526,Prod_16,6130.463108,B,0.017016966,Prod_14,5213.667643,B,0.014472121,Prod_32,5165.085603,B,0.014337267,Prod_13,4718.822613,B,0.013098528,Prod_22,3801.355673,B,0.010551819,Prod_31,3649.228815,B,0.010129545,Prod_23,3480.008317,B,0.009659822,Prod_30,3132.695101,B,0.008695749,Prod_41,3094.396632,C,0.008589439,Prod_4,2356.965456,C,0.006542475,Prod_25,2201.35093,C,0.006110519,Prod_10,2175.988373,C,0.006040118,Prod_29,2109.341916,C,0.00585512,Prod_35,1277.027736,C,0.003544779,Prod_52,1077.15012,C,0.002989958,Prod_28,862.4072636,C,0.002393874,Prod_42,767.9691302,C,0.002131732,Prod_49,711.1846089,C,0.001974109,Prod_43,538.392905,C,0.001494473,Prod_40,456.5261926,C,0.001267227,Prod_36,401.7742567,C,0.001115247,Prod_33,378.2935812,C,0.001050069,Prod_39,348.9181349,C,0.000968528,Prod_26,314.5342449,C,0.000873086,Prod_34,170.383776,C,0.000472952,Prod_37,120.8685474,C,0.000335507,Prod_3,113.8952467,C,0.000316151,Prod_57,29.94091659,C,8.31101E-005,Prod_44,14.30510459,C,3.97082E-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Prod_5,24791.93173,A,0.107659642,Prod_1,21847.22396,A,0.094872168,Prod_20,21370.38222,A,0.09280147,Prod_15,21091.01865,A,0.091588326,Prod_9,18034.25417,A,0.078314242,Prod_6,14832.32057,A,0.064409758,Prod_17,13284.37967,A,0.057687782,Prod_21,12514.09447,A,0.054342798,Prod_8,8021.210658,A,0.034832327,Prod_11,6842.81554,A,0.029715114,Prod_12,6778.687879,A,0.029436638,Prod_7,6446.922979,A,0.02799594,Prod_24,6301.211584,A,0.027363184,Prod_18,5097.89339,B,0.022137742,Prod_13,4737.677516,B,0.020573494,Prod_2,3654.300026,B,0.015868898,Prod_32,3540.577767,B,0.015375056,Prod_27,3038.775326,B,0.013195965,Prod_16,2851.511417,B,0.012382766,Prod_14,2749.3496,B,0.011939126,Prod_19,2668.43092,B,0.011587734,Prod_22,2432.850047,B,0.010564718,Prod_23,1835.107022,B,0.007969002,Prod_38,1749.266943,B,0.00759624,Prod_30,1744.510832,B,0.007575586,Prod_31,1657.289962,C,0.007196827,Prod_4,1550.542096,C,0.006733271,Prod_10,1269.025942,C,0.00551078,Prod_35,1184.569117,C,0.005144024,Prod_29,1175.442781,C,0.005104392,Prod_25,1151.702229,C,0.005001298,Prod_28,633.0326202,C,0.002748961,Prod_52,494.0702669,C,0.002145514,Prod_41,467.8308138,C,0.002031568,Prod_42,418.5402551,C,0.001817523,Prod_43,293.4027729,C,0.00127411,Prod_26,292.6826252,C,0.001270982,Prod_39,284.4340079,C,0.001235162,Prod_33,273.8234477,C,0.001189086,Prod_34,185.8732102,C,0.00080716,Prod_36,165.4335445,C,0.0007184,Prod_40,127.8077926,C,0.000555009,Prod_37,105.7450577,C,0.000459201,Prod_3,95.94360808,C,0.000416638,Prod_57,59.88183318,C,0.000260038,Prod_48,48.31798584,C,0.000209822,Prod_58,44.84412807,C,0.000194737,Prod_53,36.55037393,C,0.000158721,Prod_44,7.152552297,C,3.10602E-005,,,,,,,,,,,,,,,,,,,,,,,,
9,Prod_21,327843.2765,A,0.215422716,Prod_1,142031.2559,A,0.093327395,Prod_12,140286.8111,A,0.092181137,Prod_22,100994.6464,A,0.066362627,Prod_13,84791.77948,A,0.055715876,Prod_20,80401.33621,A,0.052830958,Prod_2,77659.5716,A,0.05102937,Prod_17,71383.37861,A,0.046905343,Prod_30,49581.76651,A,0.03257971,Prod_38,41904.2232,A,0.027534869,Prod_11,40836.77063,A,0.026833456,Prod_19,34568.74846,A,0.022714798,Prod_6,34412.7704,B,0.022612306,Prod_5,29963.93891,B,0.019689021,Prod_8,27143.45278,B,0.017835706,Prod_9,24661.36099,B,0.016204747,Prod_15,24478.31567,B,0.01608447,Prod_7,21947.98708,B,0.014421815,Prod_41,20983.59903,B,0.013788124,Prod_18,17208.16341,B,0.011307321,Prod_16,16831.88478,B,0.011060072,Prod_10,15713.64502,B,0.010325288,Prod_35,14378.87628,B,0.009448224,Prod_25,12844.92866,C,0.008440281,Prod_34,8085.487427,C,0.005312897,Prod_33,7140.661753,C,0.004692061,Prod_24,7128.571324,C,0.004684117,Prod_31,6469.939126,C,0.004251336,Prod_32,5494.323825,C,0.003610268,Prod_43,4880.987255,C,0.003207251,Prod_4,4307.903129,C,0.002830682,Prod_3,3816.724348,C,0.002507933,Prod_27,3727.231013,C,0.002449128,Prod_23,3692.68127,C,0.002426426,Prod_14,3105.811286,C,0.002040799,Prod_39,2490.456603,C,0.001636455,Prod_37,1903.078598,C,0.001250495,Prod_52,1723.786243,C,0.001132684,Prod_29,1569.930991,C,0.001031587,Prod_40,1117.021539,C,0.000733984,Prod_36,606.5896631,C,0.000398584,Prod_26,535.325869,C,0.000351758,Prod_49,403.9722098,C,0.000265446,Prod_42,373.8311642,C,0.000245641,Prod_28,291.297529,C,0.000191409,Prod_57,119.7636664,C,7.86956E-005,Prod_58,22.42206403,C,1.47333E-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Prod_1,76628.69982,A,0.144289622,Prod_5,39709.31044,A,0.074771481,Prod_17,35756.14382,A,0.067327783,Prod_23,30790.25643,A,0.057977161,Prod_15,30669.34369,A,0.057749486,Prod_6,26903.62786,A,0.050658752,Prod_20,26012.95119,A,0.048981634,Prod_9,23346.72104,A,0.043961199,Prod_21,21518.72187,A,0.04051913,Prod_12,18344.30879,A,0.034541802,Prod_11,18322.58355,A,0.034500894,Prod_7,12737.51733,A,0.023984376,Prod_18,12630.84092,A,0.023783508,Prod_38,12417.63582,A,0.023382049,Prod_22,11150.10948,A,0.020995333,Prod_24,10809.40993,A,0.020353806,Prod_8,10125.78471,A,0.019066559,Prod_49,9959.902419,B,0.018754208,Prod_2,9563.703445,B,0.018008177,Prod_43,9275.607992,B,0.017465701,Prod_30,8572.663015,B,0.016142076,Prod_13,6614.646559,B,0.012455188,Prod_31,6580.587874,B,0.012391056,Prod_10,6136.777892,B,0.011555375,Prod_27,5943.827408,B,0.011192055,Prod_16,5415.205726,B,0.010196676,Prod_32,5169.679587,B,0.009734357,Prod_33,4780.444895,B,0.009001439,Prod_14,4383.136672,B,0.008253319,Prod_41,4284.624665,C,0.008067824,Prod_19,4042.192171,C,0.007611331,Prod_39,3691.814001,C,0.006951579,Prod_4,3419.453389,C,0.006438732,Prod_35,2988.609145,C,0.005627464,Prod_29,2584.332138,C,0.004866223,Prod_26,2175.156433,C,0.004095757,Prod_25,2017.384618,C,0.003798677,Prod_52,1992.623586,C,0.003752052,Prod_3,974.1571869,C,0.00183431,Prod_42,644.5869779,C,0.001213739,Prod_28,424.9303269,C,0.000800131,Prod_34,371.7547697,C,0.000700003,Prod_40,336.7687763,C,0.000634126,Prod_36,275.7225741,C,0.000519178,Prod_37,179.7608992,C,0.000338485,Prod_58,156.9544482,C,0.000295541,Prod_53,134.5178847,C,0.000253293,Prod_57,44.91137489,C,8.45668E-005,Prod_45,34.86923227,C,6.56578E-005,Prod_48,23.18757652,C,4.36615E-005,Prod_44,7.152552297,C,0.000013468,,,,,,,,,,,,,,,,
