Cuadrante,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud,Longitud,Latitud
1,-74.2193485,4.470641,-74.2099285,4.470641,-74.2099285,4.479891,-74.2193485,4.479891
2,-74.2099285,4.470641,-74.2005085,4.470641,-74.2005085,4.479891,-74.2099285,4.479891
3,-74.2005085,4.470641,-74.1910885,4.470641,-74.1910885,4.479891,-74.2005085,4.479891
4,-74.1910885,4.470641,-74.1816685,4.470641,-74.1816685,4.479891,-74.1910885,4.479891
5,-74.1816685,4.470641,-74.1722485,4.470641,-74.1722485,4.479891,-74.1816685,4.479891
6,-74.1722485,4.470641,-74.1628285,4.470641,-74.1628285,4.479891,-74.1722485,4.479891
7,-74.1628285,4.470641,-74.1534085,4.470641,-74.1534085,4.479891,-74.1628285,4.479891
8,-74.1534085,4.470641,-74.1439885,4.470641,-74.1439885,4.479891,-74.1534085,4.479891
9,-74.1439885,4.470641,-74.1345685,4.470641,-74.1345685,4.479891,-74.1439885,4.479891
10,-74.1345685,4.470641,-74.1251485,4.470641,-74.1251485,4.479891,-74.1345685,4.479891
11,-74.1251485,4.470641,-74.1157285,4.470641,-74.1157285,4.479891,-74.1251485,4.479891
12,-74.1157285,4.470641,-74.1063085,4.470641,-74.1063085,4.479891,-74.1157285,4.479891
13,-74.1063085,4.470641,-74.0968885,4.470641,-74.0968885,4.479891,-74.1063085,4.479891
14,-74.0968885,4.470641,-74.0874685,4.470641,-74.0874685,4.479891,-74.0968885,4.479891
15,-74.0874685,4.470641,-74.0780485,4.470641,-74.0780485,4.479891,-74.0874685,4.479891
16,-74.0780485,4.470641,-74.0686285,4.470641,-74.0686285,4.479891,-74.0780485,4.479891
17,-74.0686285,4.470641,-74.0592085,4.470641,-74.0592085,4.479891,-74.0686285,4.479891
18,-74.0592085,4.470641,-74.0497885,4.470641,-74.0497885,4.479891,-74.0592085,4.479891
19,-74.0497885,4.470641,-74.0403685,4.470641,-74.0403685,4.479891,-74.0497885,4.479891
20,-74.0403685,4.470641,-74.0309485,4.470641,-74.0309485,4.479891,-74.0403685,4.479891
21,-74.0309485,4.470641,-74.0215285,4.470641,-74.0215285,4.479891,-74.0309485,4.479891
22,-74.0215285,4.470641,-74.0121085,4.470641,-74.0121085,4.479891,-74.0215285,4.479891
23,-74.0121085,4.470641,-74.0026885,4.470641,-74.0026885,4.479891,-74.0121085,4.479891
24,-74.2193485,4.479891,-74.2099285,4.479891,-74.2099285,4.489141,-74.2193485,4.489141
25,-74.2099285,4.479891,-74.2005085,4.479891,-74.2005085,4.489141,-74.2099285,4.489141
26,-74.2005085,4.479891,-74.1910885,4.479891,-74.1910885,4.489141,-74.2005085,4.489141
27,-74.1910885,4.479891,-74.1816685,4.479891,-74.1816685,4.489141,-74.1910885,4.489141
28,-74.1816685,4.479891,-74.1722485,4.479891,-74.1722485,4.489141,-74.1816685,4.489141
29,-74.1722485,4.479891,-74.1628285,4.479891,-74.1628285,4.489141,-74.1722485,4.489141
30,-74.1628285,4.479891,-74.1534085,4.479891,-74.1534085,4.489141,-74.1628285,4.489141
31,-74.1534085,4.479891,-74.1439885,4.479891,-74.1439885,4.489141,-74.1534085,4.489141
32,-74.1439885,4.479891,-74.1345685,4.479891,-74.1345685,4.489141,-74.1439885,4.489141
33,-74.1345685,4.479891,-74.1251485,4.479891,-74.1251485,4.489141,-74.1345685,4.489141
34,-74.1251485,4.479891,-74.1157285,4.479891,-74.1157285,4.489141,-74.1251485,4.489141
35,-74.1157285,4.479891,-74.1063085,4.479891,-74.1063085,4.489141,-74.1157285,4.489141
36,-74.1063085,4.479891,-74.0968885,4.479891,-74.0968885,4.489141,-74.1063085,4.489141
37,-74.0968885,4.479891,-74.0874685,4.479891,-74.0874685,4.489141,-74.0968885,4.489141
38,-74.0874685,4.479891,-74.0780485,4.479891,-74.0780485,4.489141,-74.0874685,4.489141
39,-74.0780485,4.479891,-74.0686285,4.479891,-74.0686285,4.489141,-74.0780485,4.489141
40,-74.0686285,4.479891,-74.0592085,4.479891,-74.0592085,4.489141,-74.0686285,4.489141
41,-74.0592085,4.479891,-74.0497885,4.479891,-74.0497885,4.489141,-74.0592085,4.489141
42,-74.0497885,4.479891,-74.0403685,4.479891,-74.0403685,4.489141,-74.0497885,4.489141
43,-74.0403685,4.479891,-74.0309485,4.479891,-74.0309485,4.489141,-74.0403685,4.489141
44,-74.0309485,4.479891,-74.0215285,4.479891,-74.0215285,4.489141,-74.0309485,4.489141
45,-74.0215285,4.479891,-74.0121085,4.479891,-74.0121085,4.489141,-74.0215285,4.489141
46,-74.0121085,4.479891,-74.0026885,4.479891,-74.0026885,4.489141,-74.0121085,4.489141
47,-74.2193485,4.489141,-74.2099285,4.489141,-74.2099285,4.498391,-74.2193485,4.498391
48,-74.2099285,4.489141,-74.2005085,4.489141,-74.2005085,4.498391,-74.2099285,4.498391
49,-74.2005085,4.489141,-74.1910885,4.489141,-74.1910885,4.498391,-74.2005085,4.498391
50,-74.1910885,4.489141,-74.1816685,4.489141,-74.1816685,4.498391,-74.1910885,4.498391
51,-74.1816685,4.489141,-74.1722485,4.489141,-74.1722485,4.498391,-74.1816685,4.498391
52,-74.1722485,4.489141,-74.1628285,4.489141,-74.1628285,4.498391,-74.1722485,4.498391
53,-74.1628285,4.489141,-74.1534085,4.489141,-74.1534085,4.498391,-74.1628285,4.498391
54,-74.1534085,4.489141,-74.1439885,4.489141,-74.1439885,4.498391,-74.1534085,4.498391
55,-74.1439885,4.489141,-74.1345685,4.489141,-74.1345685,4.498391,-74.1439885,4.498391
56,-74.1345685,4.489141,-74.1251485,4.489141,-74.1251485,4.498391,-74.1345685,4.498391
57,-74.1251485,4.489141,-74.1157285,4.489141,-74.1157285,4.498391,-74.1251485,4.498391
