id,mclients,mincome,morders,mclient1,mclient2,mclient3,mPtresclientes,tclients,tincome,torders,tclient1,tclient2,tclient3
1,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
2,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
3,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
4,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
5,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
6,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
7,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
8,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
9,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
10,49,361307.7676,9.1375,53709,54533,58708,0.191627414,23,6035.483445,0.3,Foo,Bar,Baz
11,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
12,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
13,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
14,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
15,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
16,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
17,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
18,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
19,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
20,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
21,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
22,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
23,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
24,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
25,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
26,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
27,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
28,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
29,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
30,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
31,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
32,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
33,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
34,0,0,0,,,,0,1,646.7613037,0.0125,Foo,Bar,Baz
35,0,0,0,,,,0,5,1648.071127,0.075,Foo,Bar,Baz
36,0,0,0,,,,0,7,4501.493194,0.1375,Foo,Bar,Baz
37,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
38,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
39,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
40,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
41,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
42,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
43,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
44,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
45,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
46,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
47,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
48,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
49,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
50,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
51,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
52,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
53,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
54,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
55,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
56,2,9200.595477,0.3125,47456,595677,,1,8,4102.820707,0.15,Foo,Bar,Baz
57,26,232498.2162,5.4375,50038,50197,58624,0.256901691,56,23507.80144,0.9625,Foo,Bar,Baz
58,43,588834.1704,8.025,53648,55077,523179,0.240267282,20,15839.98835,0.5625,Foo,Bar,Baz
59,8,166929.4209,1.775,54882,57697,566267,0.621715349,3,1932.926301,0.05,Foo,Bar,Baz
60,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
61,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
62,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
63,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
64,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
65,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
66,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
67,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
68,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
69,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
70,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
71,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
72,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
73,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
74,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
75,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
76,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
77,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
78,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
79,18,90592.0589,2.6125,47745,54016,569867,0.389161252,5,60747.61086,0.6625,Foo,Bar,Baz
80,101,541738.5648,12.6125,49742,58620,586824,0.108746147,77,562011.8891,12.8625,Foo,Bar,Baz
81,109,1188608.877,14.1,48464,54366,59730,0.17713647,78,667512.3256,14.3875,Foo,Bar,Baz
82,43,411752.1546,4.975,51678,53821,60537,0.35898954,27,450830.9867,5.5625,Foo,Bar,Baz
83,45,442087.7333,8.6625,49394,52355,500751,0.233975935,3,39851.69338,0.7625,Foo,Bar,Baz
84,5,27315.26232,0.85,50772,51603,56697,0.810759696,1,921.1005415,0.0375,Foo,Bar,Baz
85,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
86,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
87,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
88,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
89,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
90,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
91,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
92,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
93,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
94,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
95,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
96,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
97,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
98,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
99,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
100,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
101,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
102,4,7264.400261,0.2625,47650,52147,61520,0.986387383,13,42685.96094,0.8375,Foo,Bar,Baz
103,82,565201.7544,10.7,50834,51137,63376,0.165385105,112,355283.1373,7.825,Foo,Bar,Baz
104,66,305941.0245,6.625,48458,54785,62078,0.254765068,53,671169.302,10.1,Foo,Bar,Baz
105,15,22803.10157,0.8625,49876,52249,540245,0.767021771,16,282792.801,3.425,Foo,Bar,Baz
106,19,141207.7567,3.8125,52403,54794,56651,0.32749524,0,0,0,Foo,Bar,Baz
107,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
108,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
109,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
110,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
111,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
112,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
113,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
114,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
115,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
116,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
117,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
118,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
119,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
120,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
121,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
122,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
123,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
124,0,0,0,,,,0,0,0,0,Foo,Bar,Baz
125,73,311404.8573,6.8375,52739,54817,58324,0.315269451,81,516617.9956,14.325,Foo,Bar,Baz
