id,moclients,moincome,tuclients,tuincome,weclients,weincome,thclients,thincome,frclients,frincome,saclients,saincome,suclients,suincome
1,0,,0,,0,,0,,0,,0,,0,
2,0,,0,,0,,0,,0,,0,,0,
3,0,,0,,0,,0,,0,,0,,0,
4,0,,0,,0,,0,,0,,0,,0,
5,0,,0,,0,,0,,0,,0,,0,
6,0,,0,,0,,0,,0,,0,,0,
7,0,,0,,0,,0,,0,,0,,0,
8,0,,0,,0,,0,,0,,0,,0,
9,0,,0,,0,,0,,0,,0,,0,
10,49,424327.9945,23,5748.794715,27,24456.45743,50,67911.26383,0,,2,1342.717898,28,9173.598525
11,0,,0,,0,,0,,0,,0,,0,
12,0,,0,,0,,0,,0,,0,,0,
13,0,,0,,0,,0,,0,,0,,0,
14,0,,0,,0,,0,,0,,0,,0,
15,0,,0,,0,,0,,0,,0,,0,
16,0,,0,,0,,0,,0,,0,,0,
17,0,,0,,0,,0,,0,,0,,0,
18,0,,0,,0,,0,,0,,0,,0,
19,0,,0,,0,,0,,0,,0,,0,
20,0,,0,,0,,0,,0,,0,,0,
21,0,,0,,0,,0,,0,,0,,0,
22,0,,0,,0,,0,,0,,0,,0,
23,0,,0,,0,,0,,0,,0,,0,
24,0,,0,,0,,0,,0,,0,,0,
25,0,,0,,0,,0,,0,,0,,0,
26,0,,0,,0,,0,,0,,0,,0,
27,0,,0,,0,,0,,0,,0,,0,
28,0,,0,,0,,0,,0,,0,,0,
29,0,,0,,0,,0,,0,,0,,0,
30,0,,0,,0,,0,,0,,0,,0,
31,0,,0,,0,,0,,0,,0,,0,
32,0,,0,,0,,0,,0,,0,,0,
33,0,,0,,0,,0,,0,,0,,0,
34,0,,1,615.9631463,1,19613.63166,0,,0,,1,24599.54634,0,
35,0,,5,1569.591549,9,6895.224617,0,,5,1499.943923,9,68248.34647,1,162.5777188
36,0,,7,4287.136375,12,12333.22493,0,,3,1684.894617,12,29739.87463,6,273.4499912
37,0,,0,,0,,0,,0,,0,,0,
38,0,,0,,0,,0,,0,,0,,0,
39,0,,0,,0,,0,,0,,0,,0,
40,0,,0,,0,,0,,0,,0,,0,
41,0,,0,,0,,0,,0,,0,,0,
42,0,,0,,0,,0,,0,,0,,0,
43,0,,0,,0,,0,,0,,0,,0,
44,0,,0,,0,,0,,0,,0,,0,
45,0,,0,,0,,0,,0,,0,,0,
46,0,,0,,0,,0,,0,,0,,0,
47,0,,0,,0,,0,,0,,0,,0,
48,0,,0,,0,,0,,0,,0,,0,
49,0,,0,,0,,0,,0,,0,,0,
50,0,,0,,0,,0,,0,,0,,0,
51,0,,0,,0,,0,,0,,0,,0,
52,0,,0,,0,,0,,0,,0,,0,
53,0,,0,,0,,0,,0,,0,,0,
54,0,,0,,0,,0,,0,,0,,0,
55,0,,0,,0,,0,,0,,0,,0,
56,2,9719.246856,8,397.4482925,13,151782.2598,2,16354.84827,5,1853.143193,11,265594.1185,9,873.5727463
57,26,26875.18925,56,22388.38232,94,82494.27185,27,39216.76748,33,14881.83336,74,115984.292,50,16876.45224
58,43,715791.4355,20,18269.28526,57,32279.97413,42,419344.5361,10,127.7954783,26,448439.8912,37,22822.91752
59,8,22398.72186,3,184.8821913,15,754.6139525,9,98469.73387,3,1171.569185,7,1697.657841,11,11597.42623
60,0,,0,,0,,0,,0,,0,,0,
61,0,,0,,0,,0,,0,,0,,0,
62,0,,0,,0,,0,,0,,0,,0,
63,0,,0,,0,,0,,0,,0,,0,
64,0,,0,,0,,0,,0,,0,,0,
65,0,,0,,0,,0,,0,,0,,0,
66,0,,0,,0,,0,,0,,0,,0,
67,0,,0,,0,,0,,0,,0,,0,
68,0,,0,,0,,0,,0,,0,,0,
69,0,,0,,0,,0,,0,,0,,0,
70,0,,0,,0,,0,,0,,0,,0,
71,0,,0,,0,,0,,0,,0,,0,
72,0,,0,,0,,0,,0,,0,,0,
73,0,,0,,0,,0,,0,,0,,0,
74,0,,0,,0,,0,,0,,0,,0,
75,0,,0,,0,,0,,0,,0,,0,
76,0,,0,,0,,0,,0,,0,,0,
77,0,,0,,0,,0,,0,,0,,0,
78,0,,0,,0,,0,,0,,0,,0,
79,18,11458.54138,5,67868.65569,8,125.9141978,17,147619.9926,4,12563.39398,3,12235.32778,10,271.6735916
80,101,639429.6787,77,677357.3349,38,1371.644158,101,94232.91594,66,118476.1269,0,,35,12935.28627
81,109,1322528.245,78,773417.7588,49,18679.44462,113,777517.8724,76,12687.74255,21,7895.699124,39,2232.665459
82,43,476633.9661,27,51668.356,14,4912.879998,45,272436.5554,27,34841.64979,3,1874.366897,14,7841.837779
83,45,54452.69747,3,4348.273441,34,16451.95259,45,51821.51266,12,43185.22638,0,,23,1879.416998
84,5,3489.188551,1,123.9767619,2,1154.557478,5,49827.63972,2,1612.197815,0,,2,67.35714286
85,0,,0,,0,,0,,0,,0,,0,
86,0,,0,,0,,0,,0,,0,,0,
87,0,,0,,0,,0,,0,,0,,0,
88,0,,0,,0,,0,,0,,0,,0,
89,0,,0,,0,,0,,0,,0,,0,
90,0,,0,,0,,0,,0,,0,,0,
91,0,,0,,0,,0,,0,,0,,0,
92,0,,0,,0,,0,,0,,0,,0,
93,0,,0,,0,,0,,0,,0,,0,
94,0,,0,,0,,0,,0,,0,,0,
95,0,,0,,0,,0,,0,,0,,0,
96,0,,0,,0,,0,,0,,0,,0,
97,0,,0,,0,,0,,0,,0,,0,
98,0,,0,,0,,0,,0,,0,,0,
99,0,,0,,0,,0,,0,,0,,0,
100,0,,0,,0,,0,,0,,0,,0,
101,0,,0,,0,,0,,0,,0,,0,
102,4,9122.396729,13,45294.33134,18,32673.79926,6,7836.163333,12,67491.86879,19,229258.6947,9,373.4323156
103,82,7464.966894,112,42391.71264,148,181695.7368,78,68691.39669,88,43852.62545,119,1166744.363,69,23819.84876
104,66,36912.754,53,8796.689333,33,39735.48375,61,361348.314,51,54221.99268,17,63578.35979,25,1162.326117
105,15,3447.319914,16,3386.845565,4,1531.659665,17,4335.721216,17,175425.8465,11,3883.114617,2,437.3694689
106,19,175659.947,0,,10,5911.159426,19,189421.4439,3,579.4397833,1,1331.526527,10,2285.852687
107,0,,0,,0,,0,,0,,0,,0,
108,0,,0,,0,,0,,0,,0,,0,
109,0,,0,,0,,0,,0,,0,,0,
110,0,,0,,0,,0,,0,,0,,0,
111,0,,0,,0,,0,,0,,0,,0,
112,0,,0,,0,,0,,0,,0,,0,
113,0,,0,,0,,0,,0,,0,,0,
114,0,,0,,0,,0,,0,,0,,0,
115,0,,0,,0,,0,,0,,0,,0,
116,0,,0,,0,,0,,0,,0,,0,
117,0,,0,,0,,0,,0,,0,,0,
118,0,,0,,0,,0,,0,,0,,0,
119,0,,0,,0,,0,,0,,0,,0,
120,0,,0,,0,,0,,0,,0,,0,
121,0,,0,,0,,0,,0,,0,,0,
122,0,,0,,0,,0,,0,,0,,0,
123,0,,0,,0,,0,,0,,0,,0,
124,0,,0,,0,,0,,0,,0,,0,
125,73,368267.9918,81,62331.57276,44,36717.49893,79,361969.5737,72,7188.874828,34,246371.6255,26,85.54537134
126,138,98893.47389,106,817865.9499,66,21373.41646,130,836316.3277,99,946189.8574,19,687.1236736,44,1375.261891
127,3,27412.68934,0,,2,738.1248678,3,23744.77163,0,,0,,0,
128,10,8229.222956,0,,6,1613.163447,10,131161.1718,0,,0,,6,149.5278149
129,79,783916.796,24,148139.9549,49,22677.17938,76,159787.696,11,29244.96926,0,,38,1481.513749
130,0,,0,,0,,0,,0,,0,,0,
131,0,,0,,0,,0,,0,,0,,0,
132,0,,0,,0,,0,,0,,0,,0,
133,0,,0,,0,,0,,0,,0,,0,
134,0,,0,,0,,0,,0,,0,,0,
135,0,,0,,0,,0,,0,,0,,0,
136,0,,0,,0,,0,,0,,0,,0,
137,0,,0,,0,,0,,0,,0,,0,
138,0,,0,,0,,0,,0,,0,,0,
139,0,,0,,0,,0,,0,,0,,0,
140,0,,0,,0,,0,,0,,0,,0,
141,0,,0,,0,,0,,0,,0,,0,
142,0,,0,,0,,0,,0,,0,,0,
143,0,,0,,0,,0,,0,,0,,0,
144,0,,0,,0,,0,,0,,0,,0,
145,0,,0,,0,,0,,0,,0,,0,
146,0,,0,,0,,0,,0,,0,,0,
147,0,,0,,0,,0,,0,,0,,0,
148,28,24553.18226,0,,11,2511.367492,28,261483.3612,0,,0,,14,421.2873632
149,72,58449.64952,14,31862.34523,51,143452.4467,74,692934.3719,6,23745.71756,11,14823.72322,45,1581.883435
150,1,13219.35865,1,572.9142532,3,8632.437795,1,2328.13854,0,,2,7252.152267,2,429.9755892
151,6,2542.467724,7,95724.75623,2,749.486855,3,165.9578995,7,88856.82545,1,266.5878678,0,
152,70,31359.2293,97,158516.9474,18,21181.37413,60,24516.88964,98,1393616.432,27,3542.562158,0,
153,3,15.92614379,3,22686.33587,3,37852.24163,2,534.3213469,4,25347.8645,2,45229.23457,1,283.8951257
154,0,,0,,0,,0,,0,,0,,0,
155,0,,0,,0,,0,,0,,0,,0,
156,0,,0,,0,,0,,0,,0,,0,
157,0,,0,,0,,0,,0,,0,,0,
158,0,,0,,0,,0,,0,,0,,0,
159,0,,0,,0,,0,,0,,0,,0,
160,0,,0,,0,,0,,0,,0,,0,
161,0,,0,,0,,0,,0,,0,,0,
162,0,,0,,0,,0,,0,,0,,0,
163,0,,0,,0,,0,,0,,0,,0,
164,0,,0,,0,,0,,0,,0,,0,
165,0,,0,,0,,0,,0,,0,,0,
166,0,,0,,0,,0,,0,,0,,0,
167,0,,0,,0,,0,,0,,0,,0,
168,0,,0,,0,,0,,0,,0,,0,
169,1,259.7857143,12,2143.762425,16,22516.63563,1,468.5448959,8,21886.31924,16,256398.6138,8,262.4837314
170,10,72435.71168,8,362.7938344,12,11911.1563,10,92367.23411,5,1543.542966,9,123384.7823,12,2213.157535
171,0,,0,,0,,0,,0,,0,,0,
172,43,281784.7487,83,5737.126974,126,1376788.272,27,26325.966,23,19959.48926,109,195166.9447,81,71981.29497
173,21,17226.27913,31,46656.2925,7,53268.75318,25,24393.65412,30,338149.3154,6,58172.84585,5,2889.576518
174,19,33578.46597,0,,14,8162.178563,19,25113.79413,0,,1,1721.734429,7,3456.347962
175,121,1122595.37,99,5719.6326,146,97299.65343,112,926526.2872,73,46777.51748,89,958641.633,79,24836.75367
176,11,6964.726219,25,26658.57345,36,369149.1974,7,5792.89898,17,11847.21876,35,492991.2679,19,4197.489974
177,0,,0,,0,,0,,0,,0,,0,
178,0,,0,,0,,0,,0,,0,,0,
179,0,,0,,0,,0,,0,,0,,0,
180,0,,0,,0,,0,,0,,0,,0,
181,0,,0,,0,,0,,0,,0,,0,
182,0,,0,,0,,0,,0,,0,,0,
183,0,,0,,0,,0,,0,,0,,0,
184,0,,0,,0,,0,,0,,0,,0,
185,0,,0,,0,,0,,0,,0,,0,
186,0,,0,,0,,0,,0,,0,,0,
187,0,,0,,0,,0,,0,,0,,0,
188,0,,0,,0,,0,,0,,0,,0,
189,0,,0,,0,,0,,0,,0,,0,
190,0,,1,592.1415374,0,,0,,1,731.31252,0,,0,
191,0,,1,1534.438334,0,,1,195.7443682,1,1356.785382,0,,0,
192,16,1564.463735,37,13178.43624,47,562582.5753,1,8178.118125,20,1226.241962,47,88668.67795,22,884.7721712
193,4,681.3668533,17,6293.435577,29,286592.9968,1,5738.893896,12,9652.641497,28,444827.6399,10,382.8597699
194,1,428.1198366,1,537.8769643,1,25461.73817,0,,0,,1,23786.43965,0,
195,82,666995.4883,105,4587.426727,83,87578.66189,82,182442.3977,74,684859.2884,44,52419.95375,65,23144.36413
196,63,7293.311758,152,1631945.249,96,152178.7567,92,1127.985488,155,1283736.786,109,1136733.914,46,1381.934268
197,138,1919.539982,116,11887.48296,131,672134.5334,149,956312.288,113,9824.259636,67,5131.238541,100,36763.57534
198,167,9897.714644,158,1617123.418,111,59528.84119,181,175461.5164,141,1928321.683,27,37849.74399,62,21278.81476
199,31,14766.24534,52,51693.95298,24,77785.19212,30,19824.6779,51,771276.2877,8,14911.79211,1,18.425649
200,0,,0,,0,,0,,0,,0,,0,
201,0,,0,,0,,0,,0,,0,,0,
202,0,,0,,0,,0,,0,,0,,0,
203,0,,0,,0,,0,,0,,0,,0,
204,0,,0,,0,,0,,0,,0,,0,
205,0,,0,,0,,0,,0,,0,,0,
206,0,,0,,0,,0,,0,,0,,0,
207,0,,0,,0,,0,,0,,0,,0,
208,0,,0,,0,,0,,0,,0,,0,
209,0,,0,,0,,0,,0,,0,,0,
210,0,,0,,0,,0,,0,,0,,0,
211,0,,0,,0,,0,,0,,0,,0,
212,0,,0,,0,,0,,0,,0,,0,
213,0,,0,,0,,0,,0,,0,,0,
214,0,,0,,0,,0,,0,,0,,0,
215,8,2319.492433,15,596.3542883,22,227718.1628,8,263.4574265,8,2879.586768,22,242551.1412,9,1982.833525
216,12,8276.522895,29,13135.77622,53,515921.3112,39,7346.97983,28,9861.567498,49,739419.5156,20,774.4511474
217,75,794897.965,19,119392.8737,38,38893.29477,72,6293.819728,28,17849.47617,7,28153.21972,33,12763.6744
218,89,454492.8623,96,85248.64142,72,3885.144978,138,194823.9249,112,1317255.535,18,2433.615487,25,11467.3137
219,72,663943.5214,0,,46,29969.48396,74,963793.4733,31,12427.14994,1,5374.124396,39,1423.372487
220,30,29886.37557,131,145254.549,223,2482642.579,46,21984.8256,82,134122.8174,210,237761.3182,109,39984.23631
221,111,16154.46625,198,2219659.157,91,59323.29921,99,8956.913846,185,171759.5667,67,598925.672,19,7563.691686
222,15,1328.358653,29,2315.349219,6,1232.732815,24,136272.6183,18,311152.182,3,13415.78473,8,1644.976371
223,4,59145.66713,1,18692.29659,3,271.1353385,5,93613.34336,1,33171.85853,0,,3,11.26543745
224,0,,0,,0,,0,,0,,0,,0,
225,0,,0,,0,,0,,0,,0,,0,
226,0,,0,,0,,0,,0,,0,,0,
227,0,,0,,0,,0,,0,,0,,0,
228,0,,0,,0,,0,,0,,0,,0,
229,0,,0,,0,,0,,0,,0,,0,
230,0,,0,,0,,0,,0,,0,,0,
231,0,,0,,0,,0,,0,,0,,0,
232,0,,0,,0,,0,,0,,0,,0,
233,0,,0,,0,,0,,0,,0,,0,
234,0,,0,,0,,0,,0,,0,,0,
235,0,,0,,0,,0,,0,,0,,0,
236,0,,0,,0,,0,,0,,0,,0,
237,0,,0,,0,,0,,0,,0,,0,
238,0,,0,,0,,0,,0,,0,,0,
239,128,731276.8947,113,153856.7873,67,2218.131329,129,552917.7556,117,1145225.996,8,1399.984235,35,17281.61638
240,82,679958.5248,74,41375.24822,107,134593.8459,80,56132.43643,40,226945.7692,45,427313.2418,47,14566.71622
241,82,935231.1148,34,1737.765581,79,384391.9125,82,964795.6534,35,2366.215235,34,176262.3537,48,17962.58897
242,149,182958.8765,12,61811.32512,102,8795.767267,151,2261516.317,5,5292.355472,12,2896.264923,91,39889.62864
243,102,171178.148,67,1838.124565,146,163444.2952,108,895918.7468,29,13522.73848,95,93127.64856,79,2585.469939
