id,jun-10,jul-10,ago-10,sep-10,oct-10,nov-10,ene-11,feb-11,mar-11,abr-11,may-11,jun-11,jul-11,ago-11,sep-11,dic-11,ene-12,feb-12,mar-12,abr-12,may-12
Accesorios Temporada,,,,,,,,,,,,,,,,1081752.838,1037943.533,1159261.609,3433975.52,1529955.727,269595.7229
Atún,151135483.5,307780109.8,331474622.6,339031497.6,375184602.9,328220904.2,325027865.9,373165447,404418287.8,730414209.1,383039295.6,485759956.6,403621830.2,411905989.1,364952089.8,274517249.5,213278524.1,408615543.1,476680051.8,312086336.3,393044717.6
Barquillos,19008858.7,54439807.3,51655455.31,59804505.72,54052541.38,41977674.82,42085045.59,44634202.36,53257636.57,90516458.43,46124374.91,58939152.01,61638719.21,61963999.18,58414439.26,52648600.03,50422577.93,77198063.57,88907344.62,76781424.01,79642112.39
Bebida Instantanea,815426,1523618,1778883,1761669,2001217,1682139,1658925,1584984,1777163,3944166,2087114,2065701,2798721,2159486,2152736,1796094,1796958,2449755,2555139,2102825,2283413
Blando Recubi Choco,5271757.382,14870772.2,11069063.92,12074336.73,13074439.12,10609189.11,12414135.21,9522285.712,10304981.47,22218993.07,11794154,10469503.04,11682117.45,11711151.62,12721097.26,9229752.95,7776142.391,10193339.67,10739575.92,9543882.135,11092645.1
Bombón con Chicle,87046096.5,141559328,138079261,154286716.1,205008793.8,206108674.7,196690182.2,159408842.4,162241974.8,381315118.3,193079624.5,187341047.7,201407198.1,263339068.9,222506083,203788455,207315186.3,215713135.4,226238849.6,212828426.9,248474517.8
Bombón de Chocolate,80691822.79,120590151.7,121827894.1,141571915.6,132790755.8,103924513.2,108404832.4,124603914.3,127452971.7,294044537.6,154870975.3,120267027.5,130079519.8,123443610.2,136763843.4,110505927.2,89025224.6,111843554,222399789.6,147676523.4,159800450.6
Bombón sin Chicle,24393329,47408389,44561416.3,47399902.04,51535291.27,41330829.54,58913810.34,58265629.64,50090893.73,110673005.9,64416658.77,45808177.42,60989652.36,55323117.7,49544396.57,42410192.68,34813215.3,51848805.59,49332427.96,43650265.2,45981832.3
Café,2520429,4331104,4935759,6241632,6673549,7068664,7566701,7620856,8316221,23410293,9822398,11205326,14202348,17923086,16598800,11878529,9564546,12518879,19058276,12536661,13741865
Café Saborizado,138689,258055,345180,310330,495638,544136,528025,526711,672224,1615927,791882,600042,618051,675855,529758,411268,569261,626189,750208,938982,741632
