id,clients,income
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,52,91143180.35
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,1,3765647.856
35,9,11796177.18
36,12,35813028.01
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,13,38467087.53
57,101,226778841.4
58,69,164593594.7
59,15,42771168.78
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,20,40454993.18
80,128,277326250.5
81,144,331554663.8
82,49,136182559.2
83,45,97922078.19
84,6,7423745.057
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,22,57351032.6
103,208,438523729.2
104,87,184292213.2
105,20,49818910.18
106,20,31515870.19
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,120,225976561.8
126,167,304889032.2
127,3,4359229.211
128,10,18161899.23
129,82,194783226.9
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,28,43137853.35
149,86,136781409.7
150,3,4484472.319
151,7,15893310.89
152,99,215017603.5
153,4,11166944.75
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,18,42419675.81
170,18,33341137.38
171,,
172,135,337515660.2
173,35,75663487.84
174,20,50359856.54
175,212,418135019
176,42,86717498.4
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,1,111170.0246
191,1,1998104.689
192,48,119616266.2
193,29,64152381.29
194,1,4217984.204
195,154,360666509.9
196,201,483964314.2
197,220,434878576
198,227,480451511.4
199,56,125190770.4
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,22,40820714.76
216,58,120778234.4
217,80,149141606.4
218,178,318645935.8
219,76,141937974.3
220,244,476442621.2
221,223,447696796.1
222,31,70416944.45
223,5,17447183.58
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,168,336095689.9
240,156,282028805.3
241,114,239592099.9
242,153,364044705
243,204,359108578.9
244,239,461125350.6
245,111,213792698.5
246,30,56589590.93
247,,
248,,
249,,
250,,
251,,
252,,
253,1,2922249.66
254,,
255,,
256,,
257,,
258,,
259,1,1527448.617
260,55,99207577.25
261,24,49867487.44
262,41,108122665
263,153,324635119.4
264,166,377970481.1
265,123,282699388.8
266,172,215329817.9
267,123,209523149.5
268,127,270763185.8
269,35,63246409.61
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,12,39167471.43
283,54,118836948.7
284,127,223708357.5
285,170,336479951
286,154,279186894
287,148,244985987.4
288,141,201038292.8
289,160,242239014
290,178,298591778.5
291,200,343936380.2
292,59,123051613.8
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,1,1130873.978
304,,
305,59,121069153.8
306,97,210883266.2
307,131,203166484.3
308,76,132809399.9
309,97,205789333
310,113,231736637.5
311,89,166951759.7
